t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
1.000000000000000e-01,16,1734,CFI4,3.704406377670832e-02,0.000000000000000e+00,5.196075000000000e-03,0.000000000000000e+00,gmg
1.000000000000000e-01,32,6534,CFI4,3.999054069473524e-02,0.000000000000000e+00,7.278146000000000e-03,0.000000000000000e+00,gmg
1.000000000000000e-01,64,25350,CFI4,4.078956534828031e-02,0.000000000000000e+00,1.144506300000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,128,99846,CFI4,4.099354691413325e-02,0.000000000000000e+00,2.408047800000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,256,396294,CFI4,4.104481303633484e-02,0.000000000000000e+00,5.148879000000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,512,1579014,CFI4,4.105764498946764e-02,0.000000000000000e+00,1.911859080000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,1024,6303750,CFI4,4.106085442057494e-02,0.000000000000000e+00,6.042165580000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,2048,25190406,CFI4,4.106165679065840e-02,0.000000000000000e+00,2.328249968000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,16,1734,MITC4,3.966996345070629e-02,0.000000000000000e+00,4.417215000000000e-03,0.000000000000000e+00,gmg
1.000000000000000e-01,32,6534,MITC4,4.071430337136952e-02,0.000000000000000e+00,7.073001000000000e-03,0.000000000000000e+00,gmg
1.000000000000000e-01,64,25350,MITC4,4.097504192331192e-02,0.000000000000000e+00,1.321113100000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,128,99846,MITC4,4.104020552012812e-02,0.000000000000000e+00,2.332796400000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,256,396294,MITC4,4.105649440549727e-02,0.000000000000000e+00,5.172228800000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,512,1579014,MITC4,4.106056658894811e-02,0.000000000000000e+00,1.841343950000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,1024,6303750,MITC4,4.106158452794502e-02,0.000000000000000e+00,6.040002110000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,2048,25190406,MITC4,4.106183889853918e-02,0.000000000000000e+00,2.327465459000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,8,1734,CFI9,4.074820334189565e-02,0.000000000000000e+00,2.091158900000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,16,6534,CFI9,4.104183846007645e-02,0.000000000000000e+00,1.467140700000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,32,25350,CFI9,4.106066054872005e-02,0.000000000000000e+00,1.772230300000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,64,99846,CFI9,4.106184530551204e-02,0.000000000000000e+00,4.013555500000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,128,396294,CFI9,4.106191948681303e-02,0.000000000000000e+00,1.114880050000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,256,1579014,CFI9,4.106192415013192e-02,0.000000000000000e+00,3.265237880000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,512,6303750,CFI9,4.106192445752505e-02,0.000000000000000e+00,1.210410075000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,8,1734,MITC9,4.100600866599995e-02,0.000000000000000e+00,2.082842200000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,16,6534,MITC9,4.105868563437331e-02,0.000000000000000e+00,1.732133200000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,32,25350,MITC9,4.106172386445382e-02,0.000000000000000e+00,1.624261100000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,64,99846,MITC9,4.106190985543165e-02,0.000000000000000e+00,3.705761800000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,128,396294,MITC9,4.106192142981389e-02,0.000000000000000e+00,1.013493490000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,256,1579014,MITC9,4.106192220901032e-02,0.000000000000000e+00,3.265955730000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,512,6303750,MITC9,4.106192229563180e-02,0.000000000000000e+00,1.211481846000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-01,8,1734,AIG9,6.804170264475647e-02,0.000000000000000e+00,2.093688600000000e-02,0.000000000000000e+00,direct
2.000000000000000e-01,16,6534,AIG9,6.815108960902903e-02,0.000000000000000e+00,1.512377500000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-01,32,25350,AIG9,6.815766945875025e-02,0.000000000000000e+00,1.626052400000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-01,64,99846,AIG9,6.815807675447626e-02,0.000000000000000e+00,3.714706600000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-01,128,396294,AIG9,6.815810218446249e-02,0.000000000000000e+00,1.017376080000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-01,256,1579014,AIG9,6.815810380137416e-02,0.000000000000000e+00,3.725913980000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-01,512,6303750,AIG9,6.815810381846336e-02,0.000000000000000e+00,1.556528568000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,4,1014,CFI16,4.110181507109113e-02,0.000000000000000e+00,2.015916900000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,8,3750,CFI16,4.106284539559233e-02,0.000000000000000e+00,3.542584100000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,16,14406,CFI16,4.106193994028848e-02,0.000000000000000e+00,5.007650000000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,32,56454,CFI16,4.106192468021190e-02,0.000000000000000e+00,1.029876500000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,64,223494,CFI16,4.106192443746517e-02,0.000000000000000e+00,2.826630350000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,128,889350,CFI16,4.106192443371443e-02,0.000000000000000e+00,1.044760109000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,256,3548166,CFI16,4.106192443370699e-02,0.000000000000000e+00,3.033541282000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,4,1014,MITC16,4.108185125319945e-02,0.000000000000000e+00,2.194830400000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,8,3750,MITC16,4.106225130819591e-02,0.000000000000000e+00,3.019559600000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,16,14406,MITC16,4.106192173167964e-02,0.000000000000000e+00,1.465919950000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,32,56454,MITC16,4.106191652884764e-02,0.000000000000000e+00,7.138304950000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,64,223494,MITC16,4.106191644719197e-02,0.000000000000000e+00,3.456435377000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,4,1014,LFI16,4.110181507109095e-02,0.000000000000000e+00,2.015020500000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,8,3750,LFI16,4.106284539559189e-02,0.000000000000000e+00,3.061585400000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,16,14406,LFI16,4.106193994028275e-02,0.000000000000000e+00,1.494266570000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,32,56454,LFI16,4.106192468021607e-02,0.000000000000000e+00,7.121862940000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,64,223494,LFI16,4.106192443747986e-02,0.000000000000000e+00,3.462001636000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,8,891,HRA4,5.399910819840291e-02,0.000000000000000e+00,3.448190200000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,16,3179,HRA4,5.784050073581291e-02,0.000000000000000e+00,9.565525599999999e-02,0.000000000000000e+00,direct
1.000000000000000e-01,32,11979,HRA4,5.880465101272385e-02,0.000000000000000e+00,3.883248820000000e-01,0.000000000000000e+00,direct
1.000000000000000e-01,64,46475,HRA4,5.904569858229198e-02,0.000000000000000e+00,1.712390879000000e+00,0.000000000000000e+00,direct
1.000000000000000e-01,128,183051,HRA4,5.910595789413145e-02,0.000000000000000e+00,9.137543247000000e+00,0.000000000000000e+00,direct
1.000000000000000e-01,256,726539,HRA4,5.912102251201900e-02,0.000000000000000e+00,3.421861842600000e+01,0.000000000000000e+00,direct
