t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
2.000000000000000e-03,16,1734,CFI4,1.332115778534235e-04,0.000000000000000e+00,8.429191000000001e-03,0.000000000000000e+00,gmg
2.000000000000000e-03,32,6534,CFI4,5.360215075005403e-04,0.000000000000000e+00,3.158901800000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,64,25350,CFI4,2.050585252048553e-03,0.000000000000000e+00,5.265301000000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,128,99846,CFI4,6.887267818550503e-03,0.000000000000000e+00,1.252311070000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,256,396294,CFI4,1.674943649310981e-02,0.000000000000000e+00,5.445959220000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,512,1579014,CFI4,2.608353750434025e-02,0.000000000000000e+00,1.764567871000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,1024,6303750,CFI4,3.030526852079248e-02,0.000000000000000e+00,8.705128400000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,16,1734,MITC4,3.056543494853406e-02,0.000000000000000e+00,1.651523800000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,6534,MITC4,3.164806972662669e-02,0.000000000000000e+00,4.377398500000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,64,25350,MITC4,3.191818921600974e-02,0.000000000000000e+00,6.022595500000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,128,99846,MITC4,3.198568361115324e-02,0.000000000000000e+00,2.414214890000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,256,396294,MITC4,3.200255474684066e-02,0.000000000000000e+00,9.525549460000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,512,1579014,MITC4,3.200677256793862e-02,0.000000000000000e+00,4.259910339000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,1024,6303750,MITC4,3.200782689431819e-02,0.000000000000000e+00,1.115568474900000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,8,1734,CFI9,2.883620955281598e-02,0.000000000000000e+00,1.796994100000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,6534,CFI9,3.128275961718072e-02,0.000000000000000e+00,4.565679300000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,25350,CFI9,3.185726217905696e-02,0.000000000000000e+00,2.267196390000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,64,99846,CFI9,3.199678398283513e-02,0.000000000000000e+00,1.262154679000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,128,396294,CFI9,3.202794833793106e-02,0.000000000000000e+00,5.878531387000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,256,1579014,CFI9,3.203294325333744e-02,0.000000000000000e+00,3.350633974700000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,8,1734,MITC9,3.180288715645983e-02,0.000000000000000e+00,1.733952700000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,6534,MITC9,3.185928241881129e-02,0.000000000000000e+00,4.469568600000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,25350,MITC9,3.186305510198982e-02,0.000000000000000e+00,2.323883700000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,64,99846,MITC9,3.186341225398384e-02,0.000000000000000e+00,2.195635190000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,128,396294,MITC9,3.186346553934263e-02,0.000000000000000e+00,1.558648062300000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,256,1579014,MITC9,3.186347556137182e-02,0.000000000000000e+00,3.702581362500000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,4,1014,CFI16,3.220631569614441e-02,0.000000000000000e+00,1.741733100000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,8,3750,CFI16,3.204937819937120e-02,0.000000000000000e+00,2.859392400000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,14406,CFI16,3.203450021493560e-02,0.000000000000000e+00,8.345969300000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,56454,CFI16,3.203353539758100e-02,0.000000000000000e+00,2.754689800000000e-01,0.000000000000000e+00,direct
2.000000000000000e-03,64,223494,CFI16,3.203348005367553e-02,0.000000000000000e+00,1.532588187000000e+00,0.000000000000000e+00,direct
2.000000000000000e-03,16,3179,HRA4,3.059550460738629e-02,0.000000000000000e+00,6.740836000000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,11979,HRA4,3.167996707247411e-02,0.000000000000000e+00,2.917587290000000e-01,0.000000000000000e+00,direct
2.000000000000000e-03,64,46475,HRA4,3.195055657752351e-02,0.000000000000000e+00,1.284800090000000e+00,0.000000000000000e+00,direct
2.000000000000000e-03,128,183051,HRA4,3.201816885061010e-02,0.000000000000000e+00,6.767734664000000e+00,0.000000000000000e+00,direct
2.000000000000000e-03,4,1014,MITC16,3.148048580207975e-02,0.000000000000000e+00,1.730776600000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,8,3750,MITC16,3.143846326598194e-02,0.000000000000000e+00,2.490021600000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,14406,MITC16,3.143719816636935e-02,0.000000000000000e+00,7.288097000000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,56454,MITC16,3.143713724013708e-02,0.000000000000000e+00,2.666378590000000e-01,0.000000000000000e+00,direct
2.000000000000000e-03,64,223494,MITC16,3.143713291611283e-02,0.000000000000000e+00,1.622530812000000e+00,0.000000000000000e+00,direct
2.000000000000000e-03,4,1014,LFI16,3.220631569635118e-02,0.000000000000000e+00,1.549849700000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,8,3750,LFI16,3.204937820106469e-02,0.000000000000000e+00,2.552136000000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,14406,LFI16,3.203450020651606e-02,0.000000000000000e+00,7.415996499999999e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,56454,LFI16,3.203353539760842e-02,0.000000000000000e+00,2.622156960000000e-01,0.000000000000000e+00,direct
2.000000000000000e-03,64,223494,LFI16,3.203348002661306e-02,0.000000000000000e+00,1.540025355000000e+00,0.000000000000000e+00,direct
2.000000000000000e-03,8,1734,AIG9,4.074820328949653e-02,0.000000000000000e+00,8.742753000000001e-03,0.000000000000000e+00,gmg
2.000000000000000e-03,16,6534,AIG9,4.104183846007702e-02,0.000000000000000e+00,1.694771900000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,32,25350,AIG9,4.106066054872027e-02,0.000000000000000e+00,2.324741700000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,64,99846,AIG9,4.106184530550654e-02,0.000000000000000e+00,7.097863700000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,128,396294,AIG9,4.106191948680358e-02,0.000000000000000e+00,2.602508210000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,256,1579014,AIG9,4.106192415017069e-02,0.000000000000000e+00,9.729068560000000e-01,0.000000000000000e+00,gmg
