t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
1.000000000000000e-02,16,1734,CFI4,3.031330760388153e-03,0.000000000000000e+00,1.018851000000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,32,6534,CFI4,9.574135406048406e-03,0.000000000000000e+00,1.664197800000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,64,25350,CFI4,2.025258699994316e-02,0.000000000000000e+00,2.413794700000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,128,99846,CFI4,2.802017185284966e-02,0.000000000000000e+00,4.779556400000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,256,396294,CFI4,3.098698474434105e-02,0.000000000000000e+00,7.117613200000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,512,1579014,CFI4,3.182920635504399e-02,0.000000000000000e+00,2.345271110000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,1024,6303750,CFI4,3.204694423540661e-02,0.000000000000000e+00,8.459101710000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,2048,25190406,CFI4,3.210184370113812e-02,0.000000000000000e+00,3.259472066000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,16,1734,MITC4,3.067527283059616e-02,0.000000000000000e+00,1.083379600000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,32,6534,MITC4,3.175936619376005e-02,0.000000000000000e+00,1.985123400000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,64,25350,MITC4,3.202986482811369e-02,0.000000000000000e+00,2.813779000000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,128,99846,MITC4,3.209745470938252e-02,0.000000000000000e+00,4.796621300000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,256,396294,MITC4,3.211435004598365e-02,0.000000000000000e+00,8.047922100000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,512,1579014,MITC4,3.211857369961437e-02,0.000000000000000e+00,2.946015820000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,1024,6303750,MITC4,3.211962957006929e-02,0.000000000000000e+00,9.668787070000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,2048,25190406,MITC4,3.211989360953060e-02,0.000000000000000e+00,4.653866641000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,8,1734,CFI9,2.922738893580713e-02,0.000000000000000e+00,1.091287300000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,16,6534,CFI9,3.158916247909084e-02,0.000000000000000e+00,1.907526000000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,32,25350,CFI9,3.205167048014045e-02,0.000000000000000e+00,4.221374400000000e-02,0.000000000000000e+00,gmg
