t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
1.000000000000000e-01,16,1734,CFI4,1.264397770521557e+00,0.000000000000000e+00,4.431499000000000e-03,0.000000000000000e+00,gmg
1.000000000000000e-01,32,6534,CFI4,1.315255760488443e+00,0.000000000000000e+00,9.785349000000000e-03,0.000000000000000e+00,gmg
1.000000000000000e-01,64,25350,CFI4,1.328613822916904e+00,0.000000000000000e+00,1.884437900000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,128,99846,CFI4,1.331995683701743e+00,0.000000000000000e+00,3.847980100000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,256,396294,CFI4,1.332843830267067e+00,0.000000000000000e+00,1.056038910000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,512,1579014,CFI4,1.333056031429638e+00,0.000000000000000e+00,4.170590120000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,1024,6303750,CFI4,1.333109089001444e+00,0.000000000000000e+00,2.483737044000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,16,1734,MITC4,1.331725881665318e+00,0.000000000000000e+00,5.304259000000000e-03,0.000000000000000e+00,gmg
1.000000000000000e-01,32,6534,MITC4,1.332778225845768e+00,0.000000000000000e+00,9.153882000000000e-03,0.000000000000000e+00,gmg
1.000000000000000e-01,64,25350,MITC4,1.333039712575582e+00,0.000000000000000e+00,1.815049900000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,128,99846,MITC4,1.333104984651066e+00,0.000000000000000e+00,4.111994800000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,256,396294,MITC4,1.333121293802312e+00,0.000000000000000e+00,1.050854230000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,512,1579014,MITC4,1.333125369581063e+00,0.000000000000000e+00,3.604864040000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,1024,6303750,MITC4,1.333126392986981e+00,0.000000000000000e+00,1.581197970000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,8,1734,CFI9,1.332742473065769e+00,0.000000000000000e+00,1.716973800000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,16,6534,CFI9,1.333101610771464e+00,0.000000000000000e+00,2.016295900000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,32,25350,CFI9,1.333125186870833e+00,0.000000000000000e+00,4.394980700000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,64,99846,CFI9,1.333126678906034e+00,0.000000000000000e+00,1.375313790000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,128,396294,CFI9,1.333126773414445e+00,0.000000000000000e+00,6.081730240000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,256,1579014,CFI9,1.333126778922076e+00,0.000000000000000e+00,2.586637203000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,8,1734,MITC9,1.333248043958169e+00,0.000000000000000e+00,1.719111100000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,16,6534,MITC9,1.333133968195382e+00,0.000000000000000e+00,2.003871900000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,32,25350,MITC9,1.333126939398817e+00,0.000000000000000e+00,4.016835600000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,64,99846,MITC9,1.333126501641748e+00,0.000000000000000e+00,1.701243410000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,128,396294,MITC9,1.333126474522501e+00,0.000000000000000e+00,6.221900299999999e-01,0.000000000000000e+00,gmg
1.000000000000000e-01,256,1579014,MITC9,1.333126472363864e+00,0.000000000000000e+00,2.282976744000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,4,1014,CFI16,1.333232566655156e+00,0.000000000000000e+00,1.685016500000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,8,3750,CFI16,1.333128496318924e+00,0.000000000000000e+00,3.013804800000000e-02,0.000000000000000e+00,direct
1.000000000000000e-01,16,14406,CFI16,1.333126806482747e+00,0.000000000000000e+00,8.463463100000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-01,32,56454,CFI16,1.333126779770105e+00,0.000000000000000e+00,2.235469780000000e-01,0.000000000000000e+00,gmg
