t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
3.333333333333334e-03,64,25350,MITC4,3.194431792338415e-02,1.581894210096950e-02,1.256434600000000e-01,1.085112921000000e+00,gmg
3.333333333333334e-03,128,99846,MITC4,3.201190442577342e-02,1.588710193599675e-02,2.086208990000000e-01,7.254541497000000e+00,gmg
3.333333333333334e-03,256,396294,MITC4,3.202879881242639e-02,1.591517738586428e-02,5.605115720000000e-01,2.209454236300000e+01,gmg
3.333333333333334e-03,512,1579014,MITC4,3.203302226781895e-02,1.592045062375930e-02,1.822148416000000e+00,8.100814298000000e+01,gmg
3.333333333333334e-03,64,25350,CFI4,5.114493115992232e-03,5.276946971103352e-03,7.257268800000000e-02,8.662572350000000e-01,gmg
3.333333333333334e-03,128,99846,CFI4,1.384259223906164e-02,1.140521977260066e-02,2.008319860000000e-01,1.815452582000000e+00,gmg
3.333333333333334e-03,256,396294,CFI4,2.411643304634173e-02,1.454956331948853e-02,5.903454120000000e-01,7.579119569000000e+00,gmg
