t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s)
1.000000000000000e-02,16,14406,LFI16,1.268112386095703e+00,0.000000000000000e+00,8.398458300000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,16,14406,CFI16,1.268112386168181e+00,0.000000000000000e+00,6.456444820000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,32,56454,CFI16,1.268110797984620e+00,0.000000000000000e+00,1.257475390000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,64,223494,CFI16,1.268110758613677e+00,0.000000000000000e+00,5.145964452000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,128,889350,CFI16,1.268110758592867e+00,0.000000000000000e+00,1.819532504000000e+01,0.000000000000000e+00,gmg
