mass=1.4419e+04 ksfail=1.0002e+00
comp0	2.5194950233215371e-02
comp1	3.9187048175537739e-02
comp2	1.9565256431079401e-02
comp3	7.9922927108917255e-02
comp4	5.7508223585836474e-02
comp5	1.5096511587744745e-02
comp6	9.6820236011415078e-03
comp7	5.2711717670660949e-02
comp8	6.1268633685252906e-02
comp9	6.2619820412514002e-02
comp10	5.9191953995368217e-02
comp11	5.1302087790603669e-02
comp12	2.2855504859657278e-02
comp13	5.2225627557314351e-02
comp14	8.8044663652196500e-02
comp15	8.3463569700704079e-02
comp16	8.4066120628372709e-02
comp17	7.6931846318763181e-02
comp18	5.1243945146035398e-02
comp19	4.3102907172068536e-02
comp20	6.9282909286071087e-02
comp21	8.2031184976547072e-02
comp22	8.9844089071536515e-02
comp23	8.1704939964178283e-02
comp24	6.1613150907176707e-02
comp25	5.0016175775191365e-03
comp26	6.1784868916685526e-02
comp27	7.9775151676050732e-02
comp28	9.7489866782031351e-02
comp29	9.2410110951750307e-02
comp30	8.4704052065779495e-02
comp31	4.1535287436315904e-02
comp32	3.7332850249065838e-02
comp33	5.4902010344506327e-02
comp34	5.3615710457559189e-02
comp35	4.5601213404124111e-02
comp36	9.3897079510778733e-03
comp37	1.3835260589333973e-02
comp38	9.8273199458506523e-03
comp39	5.5744437883032988e-02
comp40	6.2944519206105415e-02
comp41	6.6698077267487707e-02
comp42	6.7502097720521945e-02
comp43	6.3465761120388514e-02
comp44	4.7351801287191783e-02
comp45	7.0708946999485975e-02
comp46	1.0805773654443064e-01
comp47	1.0215325297503684e-01
comp48	9.9680097224851813e-02
comp49	8.8845694766652522e-02
comp50	5.7880986886993190e-02
comp51	7.0715866039593483e-02
comp52	8.8879699876309920e-02
comp53	1.0237696453431322e-01
comp54	1.0750033972130690e-01
comp55	9.7792716181331105e-02
comp56	7.4663143477054078e-02
comp57	5.0004701429337177e-03
comp58	8.6791092119913649e-02
comp59	1.0288020534823676e-01
comp60	1.1962994289346324e-01
comp61	1.1623919001437880e-01
comp62	1.0520041839236202e-01
comp63	6.9390912659693021e-02
comp64	2.2793069455801087e-02
comp65	5.4774052739143049e-02
comp66	5.7748387530888484e-02
comp67	5.8808499963781867e-02
comp68	7.3620785197903681e-03
comp69	2.1499015697351832e-02
comp70	3.8108998379547308e-02
comp71	4.0532643262966392e-02
comp72	4.2605001353794476e-02
comp73	6.3286020891536648e-02
comp74	5.6205690664920920e-02
comp75	3.5958463830251065e-02
comp76	5.1774685625194633e-02
comp77	7.9278958047214604e-02
comp78	1.1833958224404154e-01
comp79	1.0530299864118410e-01
comp80	1.0360212282218882e-01
comp81	9.2385198821212405e-02
comp82	5.7784852499860886e-02
comp83	9.8788547202519922e-02
comp84	1.1687529102072296e-01
comp85	1.2484742932773282e-01
comp86	1.2312101727005431e-01
comp87	1.1142284400957682e-01
comp88	7.9787979935489917e-02
comp89	1.5056492473458835e-01
comp90	1.5967197986739601e-01
comp91	1.5652019356995558e-01
comp92	1.6115345660919403e-01
comp93	1.5552431447310613e-01
comp94	1.4497196123803774e-01
comp95	1.1285879462352189e-01
comp96	7.2304523418005404e-02
comp97	4.2608946518527653e-02
comp98	5.5808849301659837e-02
comp99	3.7590206817726034e-02
comp100	7.2321243064943988e-02
comp101	7.7691182415349572e-02
comp102	7.2464939541813433e-02
comp103	7.9387485695316409e-02
comp104	1.1452323920125033e-01
comp105	5.8989882387309265e-03
