t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
1.000000000000000e-02,16,1734,CFI4,1.911374144312058e-01,0.000000000000000e+00,2.633953100000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,32,6534,CFI4,5.267974342980867e-01,0.000000000000000e+00,7.234019699999999e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,64,25350,CFI4,9.385774121829323e-01,0.000000000000000e+00,9.730216799999999e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,128,99846,CFI4,1.165923850160680e+00,0.000000000000000e+00,1.883534460000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,396294,CFI4,1.240935867202371e+00,0.000000000000000e+00,5.821197710000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,512,1579014,CFI4,1.261207170265815e+00,0.000000000000000e+00,2.107284785000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,1024,6303750,CFI4,1.266377860531530e+00,0.000000000000000e+00,7.891155644000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,16,1734,MITC4,1.266468684725710e+00,0.000000000000000e+00,5.919255800000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,32,6534,MITC4,1.267671408967779e+00,0.000000000000000e+00,7.643449600000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,64,25350,MITC4,1.267970378776438e+00,0.000000000000000e+00,1.021964970000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,128,99846,MITC4,1.268045014760650e+00,0.000000000000000e+00,2.048679200000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,396294,MITC4,1.268063667273618e+00,0.000000000000000e+00,5.226894940000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,512,1579014,MITC4,1.268068330638365e+00,0.000000000000000e+00,2.104647827000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,1024,6303750,MITC4,1.268069498851452e+00,0.000000000000000e+00,7.766006809000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,8,1734,CFI9,1.262770990638978e+00,0.000000000000000e+00,1.698885000000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,16,6534,CFI9,1.267099213985275e+00,0.000000000000000e+00,4.071196300000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,32,25350,CFI9,1.267979275096687e+00,0.000000000000000e+00,1.013146330000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,64,99846,CFI9,1.268099478609715e+00,0.000000000000000e+00,2.611412280000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,128,396294,CFI9,1.268109979450981e+00,0.000000000000000e+00,8.017962160000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,1579014,CFI9,1.268110705212427e+00,0.000000000000000e+00,2.596989233000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,8,1734,MITC9,1.267957439610201e+00,0.000000000000000e+00,1.706861100000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,16,6534,MITC9,1.267842322976056e+00,0.000000000000000e+00,4.029279100000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,32,25350,MITC9,1.267835340472575e+00,0.000000000000000e+00,1.088632220000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,64,99846,MITC9,1.267834931715957e+00,0.000000000000000e+00,2.728377780000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,128,396294,MITC9,1.267834919236287e+00,0.000000000000000e+00,8.657575760000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,1579014,MITC9,1.267834948642280e+00,0.000000000000000e+00,2.561061492000000e+00,0.000000000000000e+00,gmg
