mass=1.4033e+02 ksfail=1.0000e+00
comp0	1.3085653770041126e-02
comp1	1.0000000000000000e-02
comp2	1.0712958491448167e-02
comp3	1.0000000000000000e-02
comp4	3.3876798191834270e-02
comp5	1.0000000000000000e-02
comp6	1.0000000000000000e-02
comp7	1.2449065653598698e-02
comp8	1.2813975212442326e-02
comp9	1.3263116949203480e-02
comp10	1.1655302686769597e-02
comp11	2.0847770784816918e-02
comp12	1.0000000000000000e-02
comp13	1.8039268065437403e-02
comp14	2.8157616635864281e-02
comp15	3.0470781662586571e-02
comp16	3.1324702810001749e-02
comp17	2.7431384911642525e-02
comp18	1.3478013797791785e-02
comp19	1.0000000000000000e-02
comp20	1.0000000000000000e-02
comp21	4.4522925159916307e-02
comp22	1.0000000000000000e-02
comp23	1.0000000000000000e-02
comp24	1.0000000000000000e-02
comp25	1.0000000000000000e-02
comp26	3.6072519122808518e-02
comp27	1.0000000000000000e-02
comp28	1.0000000000000000e-02
comp29	1.0000000000000000e-02
comp30	1.0000000000000000e-02
comp31	1.0000000000000000e-02
comp32	1.5461604267896629e-02
comp33	1.0000000000000000e-02
comp34	1.0000000000000000e-02
comp35	1.2577961205631734e-02
comp36	1.4761838984068942e-02
comp37	1.2209383647938570e-02
comp38	1.0000000000000000e-02
comp39	3.3675084740244290e-02
comp40	3.4156974446238310e-02
comp41	3.2148155118917734e-02
comp42	2.9030904974720158e-02
comp43	2.0463656634021842e-02
comp44	1.2796468516276612e-02
comp45	1.6352240361030352e-02
comp46	2.2739574605132554e-02
comp47	2.2404449045145630e-02
comp48	2.2014427690144771e-02
comp49	1.3869261277157532e-02
comp50	1.0000000000000000e-02
comp51	1.0000000000000000e-02
comp52	1.3734782658984738e-02
comp53	3.1950318256855577e-02
comp54	1.2397067727733720e-02
comp55	1.0000000000000000e-02
comp56	1.0000000000000000e-02
comp57	1.4594588927436144e-02
comp58	2.1631572302911132e-02
comp59	2.1849047053923761e-02
comp60	2.2735725363611944e-02
comp61	1.4718652580418577e-02
comp62	1.0000000000000000e-02
comp63	1.0000000000000000e-02
comp64	1.0000000000000000e-02
comp65	1.0000000000000000e-02
comp66	1.1811681427733221e-02
comp67	1.2864905510270235e-02
comp68	1.2522828591059772e-02
comp69	1.3543891224188975e-02
comp70	1.1246059604576765e-02
comp71	3.3362625834417785e-02
comp72	3.4176788255888796e-02
comp73	3.1743684351556875e-02
comp74	2.8161815959465035e-02
comp75	2.0449082992680011e-02
comp76	1.0797721017497265e-02
comp77	1.8199929462598297e-02
comp78	2.4902470086966950e-02
comp79	2.4402502688583207e-02
comp80	2.3813278956952719e-02
comp81	1.3043442622450357e-02
comp82	1.0000000000000000e-02
comp83	1.0000000000000000e-02
comp84	1.3163639358349124e-02
comp85	3.1921399037402168e-02
comp86	1.3747985452671686e-02
comp87	1.0000000000000000e-02
comp88	1.0000000000000000e-02
comp89	1.5853593734658094e-02
comp90	2.1063823839148239e-02
comp91	2.0825136113131176e-02
comp92	2.0076107662883601e-02
comp93	1.1017015216710557e-02
comp94	1.0000000000000000e-02
comp95	1.0000000000000000e-02
comp96	4.0608167359804943e-02
comp97	2.7078453142211946e-02
comp98	1.2628814724238727e-02
comp99	1.8506300189696991e-02
comp100	1.8940039726007326e-02
comp101	2.2725572026887450e-02
comp102	1.0185043936356343e-02
comp103	2.0720680209371886e-02
