nxe,DOF,jac_time[s],res_time[s]
16,1.44e4,3.62e-3,1e-4
32,5.64e4,1.15e-2,1.52e-4
64,2.23e5,4.57e-2,4.04e-4
128,8.89e5,1.76e-1,1.12e-3
256,3.54e6,6.65e-1,4.209e-3
512,1.42e7,2.56e0,1.68e-2
