nxe,DOF,jac_time[s],res_time[s]
16,1.7e3,3.64e-3,5.98e-5
32,6.5e3,1.18e-3,1.46e-4
64,2.54e4,3.96e-3,4.37e-4
128,9.98e4,1.53e-2,1.58e-3
256,3.96e5,6.04e-2,6.50e-3
512,1.58e6,2.40e-1,2.59e-2
1024,6.30e6,9.69e-1,1.01e-1
2048,2.52e7,3.90e0,3.90e-1
