nxe,DOF,jac_time[s],res_time[s]
16,6.5e3,4.53e-4,5e-5
32,2.5e4,1.29e-3,6.78e-5
64,9.98e4,4.96e-3,1.38e-4
128,3.96e5,1.96e-2,4.03e-4
256,1.58e6,7.81e-2,1.46e-3
512,6.30e6,2.86e-1,4.69e-3
