t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
3.333333333333334e-03,8,1734,CFI9,2.886741180523510e-02,0.000000000000000e+00,1.766677060000000e-01,0.000000000000000e+00,gmg
3.333333333333334e-03,16,6534,CFI9,3.131154279761163e-02,0.000000000000000e+00,1.060736221000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,32,25350,CFI9,3.188209188072084e-02,0.000000000000000e+00,3.305188830000000e-01,0.000000000000000e+00,gmg
3.333333333333334e-03,64,99846,CFI9,3.201349727696810e-02,0.000000000000000e+00,2.315340919000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,128,396294,CFI9,3.203705070225801e-02,0.000000000000000e+00,5.149005985000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,256,1579014,CFI9,3.203968253214335e-02,0.000000000000000e+00,1.925095636200000e+01,0.000000000000000e+00,gmg
3.333333333333334e-03,8,3750,CFI16,3.205550060434971e-02,0.000000000000000e+00,1.275924789000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,32,56454,CFI16,3.203994659021139e-02,0.000000000000000e+00,2.110217507000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,64,223494,CFI16,3.203990174392251e-02,0.000000000000000e+00,8.726579183000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,128,889350,CFI16,3.203990024163435e-02,0.000000000000000e+00,3.418299677000000e+01,0.000000000000000e+00,gmg
3.333333333333334e-03,8,1734,MITC9,3.194708210600326e-02,0.000000000000000e+00,2.661745860000000e-01,0.000000000000000e+00,gmg
3.333333333333334e-03,16,6534,MITC9,3.200366642860351e-02,0.000000000000000e+00,1.050564259000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,32,25350,MITC9,3.200716107619815e-02,0.000000000000000e+00,2.586381130000000e-01,0.000000000000000e+00,gmg
3.333333333333334e-03,64,99846,MITC9,3.200611164252079e-02,0.000000000000000e+00,9.512458170000000e-01,0.000000000000000e+00,gmg
3.333333333333334e-03,128,396294,MITC9,3.200438732057820e-02,0.000000000000000e+00,3.433390937000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,256,1579014,MITC9,3.200343651237028e-02,0.000000000000000e+00,1.388539558200000e+01,0.000000000000000e+00,gmg
3.333333333333334e-03,8,3750,MITC16,3.191727530100016e-02,0.000000000000000e+00,2.874350900000000e-02,0.000000000000000e+00,direct
3.333333333333334e-03,16,14406,MITC16,3.191604325769841e-02,0.000000000000000e+00,7.514110000000000e-02,0.000000000000000e+00,direct
3.333333333333334e-03,32,56454,MITC16,3.191563938627051e-02,0.000000000000000e+00,2.619333910000000e-01,0.000000000000000e+00,direct
3.333333333333334e-03,64,223494,MITC16,3.191524571751014e-02,0.000000000000000e+00,1.631663105000000e+00,0.000000000000000e+00,direct
3.333333333333334e-03,16,3179,HRA4,3.061488686553196e-02,0.000000000000000e+00,7.811184700000000e-02,4.910000000000000e-07,direct
3.333333333333334e-03,32,11979,HRA4,3.169926347200525e-02,0.000000000000000e+00,3.081414590000000e-01,5.410000000000000e-07,direct
3.333333333333334e-03,64,46475,HRA4,3.196983194487050e-02,0.000000000000000e+00,1.285935231000000e+00,5.910000000000000e-07,direct
3.333333333333334e-03,128,183051,HRA4,3.203743898737996e-02,0.000000000000000e+00,6.597678415000000e+00,7.010000000000000e-07,direct
3.333333333333334e-03,4,1014,LFI16,3.221201654271807e-02,0.000000000000000e+00,1.569986400000000e-02,0.000000000000000e+00,direct
3.333333333333334e-03,8,3750,LFI16,3.205552284448624e-02,0.000000000000000e+00,2.752997800000000e-02,0.000000000000000e+00,direct
3.333333333333334e-03,16,14406,LFI16,3.204085634712361e-02,0.000000000000000e+00,8.312796700000000e-02,0.000000000000000e+00,direct
3.333333333333334e-03,32,56454,LFI16,3.203994658184021e-02,0.000000000000000e+00,2.747034520000000e-01,0.000000000000000e+00,direct
3.333333333333334e-03,64,223494,LFI16,3.203990173964891e-02,0.000000000000000e+00,1.578262417000000e+00,0.000000000000000e+00,direct
